,percent_known,mean
2723463,[],
2098392,"[0.4, 0.19161290322580643, 0.3130769230769231, 0.14585365853658538, 0.21687499999999998, 0.301864406779661, 0.2060377358490566, 0.30622222222222223, 0.22046153846153846, 0, 0.2766666666666666, 0.19335443037974684, 0.2337735849056604, 0.24153110047846896, 0.26463917525773195, 0.3028205128205128, 0.25643939393939397, 0.24160000000000004, 0.2666, 0.23508474576271188, 0.27985714285714286, 0.22228571428571428, 0.2541935483870968, 0.2916666666666667, 0.19557894736842105, 0.3333333333333333, 0.26487654320987664, 0.19775, 0.3333333333333333, 0.1031578947368421, 0.20333333333333328, 0.2222222222222222, 0.26508928571428575, 0.20456896551724138, 0.20928571428571427, 0.3843478260869565, 0.29969696969696974, 0.2917647058823529, 0.49636363636363634, 0.21703389830508477, 0.2785140562248996, 0.18565217391304345, 0.2222222222222222, 0.16666666666666666, 0.2439041095890411, 0.14472727272727273, 0.24265306122448982, 0.26483333333333337, 0.2774358974358974, 0.21375, 0.21333333333333335, 0.20679104477611937, 0.22519230769230772, 0.269375, 0.31777777777777777, 0.316865671641791, 0.300891089108911, 0.2164761904761905, 0.25894736842105265, 0.1813157894736842, 0.34647058823529414, 0.24525000000000005, 0.25, 0.3333333333333333, 0, 0, 0.24708333333333332]",0.24259276568490895
2098394,"[0.1111111111111111, 0.2839090909090909, 0.22061224489795922, 0.29938775510204085, 0.2175, 0.14285714285714285, 0, 0, 0, 0.4, 0, 0.2941284403669725, 0.344375, 0.13655172413793104, 0.1992727272727273, 0.38, 0.3333333333333333, 0.198, 0.3333333333333333, 0, 0, 0, 0.17359605911330053, 0.2307299270072993, 0.15972972972972974, 0.3333333333333333, 0, 0, 0.21437788018433182, 0.18556603773584907, 0.20375, 0.22481927710843375, 0, 0, 0.15851351351351353, 0, 0.16318840579710148, 0.25121495327102805, 0.2654471544715447, 0, 0.2, 0.21937500000000001, 0.3333333333333333, 0, 0.05555555555555555, 0.5, 0, 0, 0, 0.24625, 0.3333333333333333, 0.22248062015503878, 0.1, 0.2857142857142857, 0.15136363636363634, 0.2273214285714286, 0.3848275862068966, 0.23215686274509803, 0.22622580645161294, 0.25, 0.5, 0.375, 0, 0.24594059405940596, 0, 0, 0.3333333333333333, 0, 0, 0, 0.30434782608695654, 0, 0, 0.2690909090909091, 0.19276073619631906]",0.1686273202904567
2098396,"[0.40941176470588236, 0.13052631578947368, 0.217962962962963, 0.21000000000000002, 0.21035714285714288, 0.2857142857142857, 0.3333333333333333, 0.22088235294117653, 0, 0, 0, 0.25, 0.1896825396825396, 0.2684666666666667, 0.25, 0.27396341463414636, 0.21428571428571427, 0.28944444444444445, 0.17294117647058824, 0.25243589743589745, 0, 0.3142441860465117, 0, 0.2089285714285715, 0.2552631578947368, 0, 0.18181818181818182, 0.26636363636363636, 0, 0, 0.3069047619047619, 0.25, 0.3333333333333333, 0.2238541666666667, 0.26964285714285713, 0.11529411764705882, 0.3333333333333333, 0.20253968253968255, 0.2288079470198676, 0.18122448979591835, 0.15394495412844036, 0.3333333333333333, 0.2379464285714286, 0.23153061224489802, 0.30020408163265305, 0.2857142857142857, 0, 0, 0, 0, 0.255, 0.22328358208955226, 0.2076923076923077, 0.21559999999999999, 0.23956250000000004, 0.14095238095238094, 0, 0, 0.2702702702702703, 0.21285714285714286, 0.25545454545454543, 0.3333333333333333, 0.24877697841726618, 0.368, 0.2584782608695652, 0.164, 0.20305555555555554, 0.37846153846153846, 0.09090909090909091, 0.3333333333333333, 0.5, 0.3333333333333333, 0, 0.29034482758620694, 0.2896078431372549, 0.09333333333333334, 0.264, 0.2841935483870968, 0.31263157894736837, 0.348, 0.23069767441860464, 0.3675, 0.34794117647058825, 0.32666666666666666, 0.25, 0.10051282051282051, 0.2681081081081081, 0.17757575757575755, 0.4228571428571429, 0.16632432432432434, 0, 0, 0.196, 0.185, 0.3333333333333333, 0, 0, 0.6666666666666666, 0.4, 0.3333333333333333, 0, 0, 0.40090909090909094, 0.2222222222222222, 0.42857142857142855, 0.5714285714285714]",0.2160730918189014
2098386,"[0, 0, 0.20470588235294118, 0.3003225806451613, 0.24521739130434786, 0.4, 0.23888888888888893, 0.2917647058823529, 0, 0.24127659574468086, 0.3917204301075269, 0.2850877192982456, 0.2956934306569343, 0.23759999999999998, 0.2764864864864865, 0.2847260273972603, 0, 0.29208695652173916, 0, 0, 0.3757142857142857, 0.2845714285714286, 0.125, 0.2, 0, 0, 0, 0.3333333333333333, 0, 0, 0.2757657657657658, 0, 0.14285714285714285, 0.2951764705882353, 0.34822580645161283, 0.42142857142857143, 0, 0, 0.314, 0.24915254237288134, 0.25933333333333336, 0.2, 0.245625, 0.26176470588235295, 0.2814285714285714, 0.2222222222222222, 0.4, 0.4553846153846154, 0.25, 0.2702739726027397, 0.07142857142857142, 0, 0, 0.266, 0.2762295081967213, 0.28171428571428575, 0.2615441176470588, 0.29625, 0.13517241379310344, 0.28287671232876715, 0.17103448275862068, 0.47387096774193554, 0, 0.34346153846153843, 0.28845454545454546, 0, 0.21280000000000002, 0, 0.27, 0, 0, 0, 0.31083333333333335, 0, 0, 0.29411764705882354, 0, 0, 0.5, 0.2792982456140351, 0.392, 0.36277777777777787, 0.3333333333333333, 0, 0, 0, 0, 0.3255223880597015, 0.2525490196078431, 0.3333333333333333, 0.3333333333333333, 0.2684745762711864, 0.3333333333333333, 0.31111111111111106, 0.25, 0.2857142857142857, 0.2626666666666667, 0.2401020408163266, 0.2645454545454546, 0.2713186813186813, 0, 0.23454545454545456, 0.185, 0.23565217391304347, 0.2122314049586777, 0.22622950819672133, 0.21513513513513513, 0.11764705882352941, 0, 0.15384615384615385, 0, 0.21323076923076925, 0.5, 0.2857142857142857, 0.4, 0, 0.23840000000000003, 0.24, 0, 0, 0.28238095238095234, 0.25691358024691363, 0.37580645161290316, 0.2605263157894737, 0.10206896551724137, 0, 0.27742857142857147, 0.4116666666666666, 0.2222222222222222, 0.396, 0.13333333333333333, 0.19567567567567565, 0.293, 0, 0.36625, 0.1417142857142857, 0.3333333333333333, 0, 0.3333333333333333, 0, 0.27975806451612906, 0.2611764705882353, 0.27875, 0.41526315789473683, 0, 0.2857142857142857, 0, 0.16666666666666666, 0.10962962962962963, 0.243125, 0.3333333333333333, 0.16666666666666666, 0.2539130434782609, 0.1875, 0.21375, 0, 0, 0, 0, 0.2389655172413793, 0.08, 0.3333333333333333, 0.5, 0.09090909090909091, 0.1111111111111111, 0.5454545454545454, 0, 0.3440540540540541, 0, 0.3333333333333333]",0.1979042911971813
2098388,"[0.23750000000000002, 0.06999999999999999, 0.20833333333333334, 0.3266666666666667, 0.3435714285714286, 0.15, 0.3333333333333333, 0.3333333333333333, 0.4, 0.2573913043478261, 0.08333333333333333, 0.22155172413793106, 0.2945238095238095, 0.28423076923076923, 0.16238805970149253, 0.34461538461538466, 0.3412727272727273, 0.493125, 0.2727272727272727, 0.464, 0.3333333333333333, 0.19533333333333333, 0.25, 0.23352941176470593, 0, 0.2889024390243903, 0.2368, 0.2874576271186441, 0.2072222222222222, 0.3333333333333333, 0.23319148936170214, 0.2954807692307692, 0.1111111111111111, 0.21766816143497758, 0.25121338912133895, 0.2519310344827586, 0, 0.2, 0.2558064516129032, 0.31623188405797104, 0.34115384615384614, 0.2475, 0.5, 0.32155440414507774, 0.30600000000000005, 0.22479729729729736, 0, 0, 0, 0.1781818181818182, 0.3161971830985915, 0, 0, 0, 0.4185714285714286, 0.4185714285714286, 0.33999999999999997, 0.5705263157894737, 0.23076923076923078, 0.2222222222222222, 0, 0.26337448559670784, 0.2222222222222222, 0.237, 0.34057142857142864, 0, 0.2727272727272727, 0.17607142857142857, 0.3333333333333333, 0, 0.23412087912087912, 0.3037931034482758, 0.25, 0.3333333333333333, 0.4311111111111111, 0.21940298507462686, 0.2627722772277228, 0.22451612903225807, 0.2532934131736527, 0.16666666666666666, 0, 0.2758695652173913, 0, 0.24214285714285716, 0.33951219512195124, 0.2790104166666667, 0.29000000000000004, 0.265, 0.24307692307692308, 0.38999999999999996, 0.3233333333333333, 0.3333333333333333, 0.22074074074074074, 0.4166666666666667, 0.28844827586206895, 0.5720000000000001, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.4, 0.10666666666666666, 0.243125, 0.3095454545454545, 0.392, 0.33111111111111113, 0.4, 0.3216666666666667]",0.2493584684027958
2098390,"[0.386, 0.30274193548387096, 0, 0.25, 0.23122807017543864, 0.24709821428571432, 0.21405405405405406, 0.20224137931034483, 0.27789473684210525, 0.25214285714285717, 0.26069444444444445, 0.37312500000000004, 0.30850000000000005, 0.24623853211009175, 0.20723809523809525, 0.2930578512396695, 0.1873611111111111, 0.2976, 0.30999999999999994, 0.33166666666666667, 0.15903225806451612, 0.25, 0.2, 0.4089130434782609, 0.13777777777777778, 0.2645652173913044, 0.2196774193548387, 0.2068421052631579, 0.36400000000000005, 0.17863636363636365, 0.27151515151515154, 0.19475409836065577, 0.20926315789473687, 0.058823529411764705, 0.22727272727272727, 0.4228571428571429, 0.25, 0.27318840579710146, 0.250774647887324, 0.48666666666666664, 0.40941176470588236, 0.26380090497737557, 0, 0.12225000000000001, 0.3333333333333333, 0.31512195121951225, 0.3055172413793103, 0.24814814814814812, 0.23121951219512196, 0.24037383177570096, 0.145, 0.18, 0.18948598130841124, 0.15384615384615385, 0.30142857142857143, 0.18878048780487805, 0.25, 0.3273684210526316, 0.3333333333333333, 0.148, 0.125, 0.09090909090909091, 0.24727272727272726, 0.14285714285714285, 0.375, 0.3, 0.3333333333333333]",0.2464811133076808
2099972,"[0.2326016260162602, 0.33304347826086955, 0.3373584905660377, 0.32012987012987015, 0.2657894736842105, 0.24482352941176475, 0.2596954314720813, 0.5685714285714286, 0.29333333333333333, 0.4312280701754386, 0, 0.4366666666666667, 0.24923076923076926, 0.3084800000000001, 0.21814814814814817, 0.2932673267326733, 0.3171428571428571, 0.2857142857142857, 0.262183908045977, 0.38556122448979596, 0.33041666666666664, 0.17255813953488372, 0.24, 0.2889583333333334, 0.29726190476190484, 0.27380000000000004, 0.488, 0.2658620689655173, 0.2222222222222222, 0.30582677165354333, 0.3302564102564103, 0.3022058823529412, 0.34185840707964604, 0.2847727272727273, 0.33433962264150946, 0.2, 0.3246341463414635, 0.2747663551401869, 0.2885975609756098, 0.29872881355932207, 0.32403973509933787, 0.417887323943662, 0.29384000000000005, 0.4973913043478261, 0.296, 0.3153658536585366, 0.32216216216216215, 0.2132608695652174, 0.28285714285714286, 0.09090909090909091, 0.24804347826086956, 0.584, 0.30615384615384617, 0.25, 0.3146913580246914, 0.18999999999999997, 0.25, 0.48666666666666664, 0.3073529411764706, 0.4185714285714286, 0.3318518518518519, 0.3333333333333333, 0, 0.3, 0.15, 0.296, 0, 0.49714285714285716, 0, 0.07692307692307693, 0.2, 0.392, 0, 0.3527272727272727]",0.28712442626926615
2099976,"[0.2727272727272727, 0.4690476190476191, 0.1417142857142857, 0.348, 0.2479611650485437, 0.2881481481481482, 0.22872727272727272, 0.2697368421052632, 0.2765625, 0.3254901960784314, 0.31920000000000004, 0.3333333333333333, 0.35625, 0.26876543209876547, 0.2635555555555556, 0.18181818181818182, 0.2842857142857143, 0.2365873015873016, 0.3066265060240964, 0.3464285714285714, 0.24730769230769228, 0.5860000000000001, 0.32212500000000005, 0.24892857142857142, 0.26105263157894737, 0.28303571428571433, 0.2274418604651163, 0.2857142857142857, 0.22852941176470587, 0.3674074074074074, 0.23529411764705882, 0.34647482014388487, 0.2414018691588785, 0.1569642857142857, 0.185, 0.26266666666666666, 0.25, 0.22225806451612906, 0.2625628140703518, 0.3485, 0.2962962962962963, 0.261566265060241, 0.2703030303030304, 0.24229629629629632, 0.3333333333333333, 0.32389380530973455, 0.27298850574712646, 0.3402631578947369, 0.364, 0.2666666666666667, 0.3224324324324324, 0.3333587786259542, 0.375, 0.308125, 0.17411764705882352, 0.3339622641509434, 0.26589285714285715, 0.185, 0.2421818181818182, 0.3325, 0.22306666666666672, 0.15684210526315792, 0.21509433962264152, 0.2971264367816092, 0.25, 0.32027027027027033, 0.44, 0.3036111111111111, 0.1111111111111111, 0.3333333333333333, 0.346, 0.3288888888888889, 0.29484848484848486, 0.4, 0.1111111111111111, 0.31019607843137254, 0.14285714285714285, 0.3062068965517241, 0.32, 0.23294117647058823, 0.24333333333333332, 0.2613333333333333, 0, 0.5381818181818182, 0, 0.41, 0.3333333333333333, 0.24291666666666667, 0.5433333333333333, 0.093, 0.27999999999999997, 0, 0.25]",0.27759942189891795
2099974,"[0.5, 0.3150588235294118, 0.3333333333333333, 0.3440000000000001, 0.3184, 0.3584677419354839, 0.32745762711864407, 0.2711811023622047, 0.2532758620689655, 0.34, 0.35515625, 0.14285714285714285, 0.2747674418604651, 0.31806451612903225, 0.45615384615384613, 0.326436170212766, 0.2991139240506329, 0.31272727272727274, 0.29382716049382723, 0.42857142857142855, 0.320625, 0.3338655462184874, 0.25, 0.3080722891566265, 0.22196721311475412, 0.3076923076923077, 0.2260689655172414, 0.3172727272727273, 0.2851724137931035, 0.26483660130718956, 0.25538461538461543, 0.24350877192982462, 0.3082352941176471, 0.2963157894736842, 0.24211538461538462, 0.32985507246376816, 0.3631578947368422, 0.21428571428571427, 0.34900000000000003, 0.31660550458715603, 0.3426923076923077, 0.35381502890173416, 0.3094117647058824, 0.296, 0.3631683168316832, 0.35769230769230764, 0.27929411764705886, 0.3684210526315789, 0.3133333333333334, 0.3728571428571429, 0.24769230769230768, 0.4509090909090909, 0.2780327868852459, 0.34254545454545454, 0.3333333333333333, 0.35428571428571426, 0.35519999999999996, 0.3432978723404256, 0.31390243902439025, 0.3128767123287672, 0.3402857142857143, 0.2860096153846154, 0.22742857142857142, 0.2222222222222222, 0.2702479338842975, 0.3262068965517242, 0.3181481481481481, 0, 0.29366666666666663, 0.256, 0.3408571428571429, 0.22742857142857142, 0.3514285714285714, 0.21739130434782608, 0.2679310344827586, 0.42857142857142855, 0.2175, 0.33078125, 0.2576, 0.35400000000000004, 0.3539285714285714, 0.3944, 0.27666666666666667, 0.3637500000000001, 0.25, 0.375, 0.36363636363636365, 0.18060975609756097, 0.17863636363636365, 0.28842105263157897, 0.27999999999999997, 0, 0, 0.14285714285714285, 0.2297674418604651, 0.42857142857142855, 0.14285714285714285, 0.15076923076923077, 0, 0, 0.2]",0.28856657490505
2099978,"[0.2927272727272727, 0.34608695652173915, 0.2569565217391305, 0.4, 0.29540000000000005, 0.18880952380952382, 0.2793333333333334, 0.23374999999999999, 0.2624444444444444, 0.3314285714285714, 0.40744186046511627, 0.32108374384236454, 0.3333333333333333, 0.2692134831460674, 0.3374285714285714, 0.2562962962962963, 0.489, 0.3725, 0.29103448275862076, 0.29063492063492063, 0.3301010101010102, 0.19096774193548388, 0.221685393258427, 0.29330985915492963, 0.22912087912087914, 0.2, 0.289170305676856, 0.28400000000000003, 0.26917647058823535, 0.2640458015267176, 0.24230158730158735, 0.2748, 0, 0.22766233766233768, 0.2857142857142857, 0.5, 0.30034482758620684, 0.38333333333333336, 0.34155555555555556, 0.23452380952380955, 0.221, 0.27555555555555555, 0.2581538461538462, 0.3333333333333333, 0.3355450236966826, 0.41333333333333333, 0.2838356164383562, 0, 0.24777777777777776, 0.21285714285714286, 0.29300000000000004, 0.11, 0.29411764705882354, 0.33111111111111113, 0.31383177570093457, 0.23027777777777775, 0.31025423728813567, 0.33999999999999997, 0.27951219512195125, 0.2478409090909091, 0.3136842105263158, 0.3062068965517242, 0.2672972972972973, 0.12121212121212122, 0.25721739130434784, 0.23148936170212767, 0.24564705882352944, 0.21444444444444447, 0.5, 0.2, 0.3048717948717949, 0.2577777777777778, 0, 0.5, 0.14285714285714285, 0.27, 0.25, 0.32, 0, 0.37]",0.2752594911701657
2099980,"[0.2784782608695652, 0.2503921568627451, 0.32666666666666666, 0.2943243243243243, 0.28844827586206895, 0.2725862068965517, 0, 0.24976377952755907, 0.2624489795918367, 0.125, 0.2528787878787879, 0.25166666666666665, 0.33909090909090916, 0.30333333333333334, 0.18604651162790697, 0.29733333333333334, 0.32575757575757575, 0.258021978021978, 0.17924731182795697, 0.15605263157894736, 0.196, 0.23809523809523808, 0.26084070796460185, 0.23848484848484847, 0, 0.23472440944881892, 0.21283333333333332, 0.27206896551724136, 0.3333333333333333, 0.14683333333333334, 0, 0.2608695652173913, 0.23529411764705882, 0.2695, 0, 0.24125000000000002, 0.2540540540540541, 0.3973333333333333, 0.22580838323353297, 0.17671641791044776, 0.2545454545454546, 0.2178048780487805, 0.19475409836065577, 0.15, 0.29900000000000004, 0.3216666666666667, 0.2916666666666667, 0.20846153846153845, 0.18169230769230774, 0.22025641025641024, 0.20551724137931035, 0.08695652173913043, 0.25894736842105265, 0.16566666666666666, 0.17863636363636365, 0.245, 0.21040816326530612, 0.24307692307692308, 0.26954545454545453, 0.18357142857142858, 0.24456790123456792, 0.26105263157894737, 0, 0.24047169811320754, 0.17391304347826086, 0.24107692307692305, 0.3538961038961039, 0.2464772727272728, 0.21020000000000003, 0.26311111111111113, 0.25703703703703706, 0.3136842105263158, 0.2543478260869565, 0.2525490196078431, 0.4116666666666666, 0.28285714285714286, 0.18181818181818182, 0.4, 0.16, 0.4, 0, 0.3333333333333333, 0.5]",0.234467614286449
2240490,"[0.2962962962962963, 0.1984, 0.1844047619047619, 0, 0.2784507042253521, 0.15774193548387097, 0.096, 0, 0, 0, 0.2412345679012346, 0.20148148148148146, 0.18637931034482758, 0.29633333333333334, 0.17176470588235293, 0.1762921348314607, 0.198, 0, 0, 0, 0, 0, 0.2591304347826087, 0.2452083333333334, 0.18730769230769234, 0.21205607476635516, 0, 0.2521276595744681, 0, 0, 0.14650000000000002, 0, 0, 0.15442857142857144, 0, 0, 0.2278703703703704, 0.18825396825396826, 0, 0, 0, 0, 0, 0, 0, 0, 0.22782608695652176, 0.32533333333333336, 0.20081632653061224, 0, 0, 0, 0.25295774647887326, 0.125, 0, 0.19674418604651164, 0.28557692307692306, 0, 0.25737704918032783, 0.13405405405405404, 0, 0, 0, 0.20586206896551723, 0, 0, 0.3333333333333333, 0.2615267175572519, 0, 0.2329411764705882, 0.13066666666666665, 0.22400000000000003, 0, 0, 0, 0, 0, 0, 0.20325581395348832, 0.2005952380952381, 0.07142857142857142, 0.1111111111111111, 0.293, 0.2857142857142857, 0.2945238095238095, 0.185, 0.16166666666666665, 0, 0.058125, 0, 0.3008695652173913, 0.155, 0.2726724137931035, 0.1657142857142857, 0.2620253164556962, 0.29533333333333334, 0, 0, 0, 0, 0.3333333333333333, 0.16666666666666666, 0, 0.27571428571428575, 0, 0, 0.09090909090909091, 0.16666666666666666, 0, 0.11384615384615385, 0.17681818181818182, 0, 0, 0, 0, 0.19733333333333333, 0.096, 0.3973333333333333, 0, 0, 0, 0.2, 0, 0.5, 0.2]",0.11344267569424704
2559290,"[0.28500000000000003, 0.2917647058823529, 0.4, 0.25, 0.1742156862745098, 0.2657281553398058, 0.24358024691358027, 0.17804195804195805, 0, 0.21557432432432436, 0.393, 0.2407017543859649, 0.20348837209302326, 0.17454545454545453, 0.17490196078431372, 0.25, 0.26658536585365855, 0.09090909090909091, 0.2317194570135747, 0.3333333333333333, 0.29140350877192983, 0.21682926829268295, 0.2996052631578947, 0.32843750000000005, 0.27151515151515154, 0.2857142857142857, 0.3333333333333333, 0.22260273972602745, 0.3280952380952381, 0.23241379310344829, 0.2046511627906977, 0.3375609756097561, 0, 0.29562499999999997, 0.36624999999999996, 0.16666666666666666, 0.28842105263157897, 0.1976, 0.2453125, 0.185, 0.26754098360655737, 0.2146987951807229, 0.23581967213114757, 0.3333333333333333, 0.12333333333333334, 0.27792207792207796, 0, 0.3940000000000001, 0.4323913043478261, 0.2864516129032258, 0.30387096774193556, 0.10526315789473684, 0.24383561643835616, 0.3563636363636364, 0.24435294117647063, 0.1873224043715847, 0.22629107981220659, 0.2861818181818182, 0.23521739130434782, 0.28, 0.28208333333333335, 0.2384, 0.191, 0.31358490566037744, 0.2651351351351351, 0.18322580645161293, 0.26, 0.24333333333333332, 0.17714285714285713, 0.16218181818181818, 0.4, 0.2263157894736842, 0.1511864406779661, 0.3063636363636364, 0.35058823529411764, 0.25866666666666666, 0.15297619047619046, 0.26375000000000004, 0.16666666666666666, 0.25193548387096776, 0.20644736842105266, 0.3333333333333333, 0.2733333333333333, 0.23099999999999998]",0.24622580672575042
2561813,"[0.28010869565217394, 0, 0.2727272727272727, 0.18843023255813957, 0.23633027522935784, 0.2327835051546392, 0.2567741935483871, 0.26483333333333337, 0.2415175097276265, 0.19727272727272727, 0.19944444444444442, 0.26692307692307693, 0.19153061224489795, 0.09090909090909091, 0.19333333333333333, 0.2109657320872274, 0.3333333333333333, 0.3333333333333333, 0.18181818181818182, 0.22855072463768114, 0.2573913043478261, 0.26, 0.375, 0.2705789473684211, 0.3333333333333333, 0, 0.1957575757575758, 0.28903225806451616, 0.3333333333333333, 0.24421052631578946, 0.30400000000000005, 0.3333333333333333, 0.40294117647058825, 0.2427868852459016, 0.2242045454545455, 0.29754716981132073, 0.24, 0.15157894736842104, 0.22363636363636363, 0.2825714285714286, 0, 0, 0, 0.1536, 0, 0.26188679245283025, 0.26980519480519477, 0.24952569169960478, 0.2222222222222222, 0.3473333333333334, 0.3333333333333333, 0, 0.1875, 0.26372807017543864, 0.3333333333333333, 0.31, 0.2706862745098039, 0.22169014084507044, 0.3333333333333333, 0.32474137931034486, 0, 0.3333333333333333, 0.3333333333333333, 0, 0.28454545454545455, 0.2985, 0.1590909090909091, 0.3333333333333333, 0.25, 0.28285714285714286, 0.09548387096774194, 0, 0.2501492537313433, 0.3333333333333333, 0.28300000000000003, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.2857142857142857, 0.1781818181818182, 0.375, 0.2, 0, 0.625]",0.23504782632694304
